Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Ribosome	44/158	1.867375e-34	3.828119e-32	0	0	1.713879e+01	1.331056e+03	RPL5;RPL3;RPL32;RPL10;RPLP1;RPL12;RPL11;MRPS10;RPL10A;RPL8;RPS15;RPS14;RPS16;RPL18A;RPS19;RPS18;RPL14;RPS3;RPL13;RPL15;RPS2;RPS11;RPL18;RPS27A;RPS13;RPS12;RPL19;RPL41;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL35A;RPSA;RPS3A;RPL23A;RPL27A;RPS20;RPL29;RPS21;RPS24;RPS23
MSigDB_Hallmark_2020	Coronavirus disease	43/232	8.148639e-26	8.352355e-24	0	0	1.004071e+01	5.800454e+02	RPL5;RPL3;RPL32;RPL10;RPLP1;RPL12;RPL11;RPL8;RPL10A;RPS15;RPS14;RPS16;RPL18A;RPS19;RPS18;RPL14;RPS3;RPL13;RPL15;RPS2;RPS11;RPL18;RPS27A;RPS13;RPS12;RPL19;RPL41;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL35A;RPSA;RPS3A;RPL23A;RPL27A;RPS20;RPL29;RPS21;RPS24;RPS23
MSigDB_Hallmark_2020	Parkinson disease	17/249	1.188089e-04	8.118606e-03	0	0	3.045844e+00	2.752832e+01	NDUFA12;NDUFB4;NDUFB3;ADRM1;COX7C;COX7B2;PSMD8;PSMB6;PSMD7;TUBA1A;UBB;NDUFS6;DDIT3;UBC;CYC1;RPS27A;SLC25A4
MSigDB_Hallmark_2020	RNA polymerase	5/31	7.984968e-04	4.092296e-02	0	0	7.875323e+00	5.617294e+01	POLR3GL;POLR3D;POLR2G;POLR3K;POLR2L
MSigDB_Hallmark_2020	Spliceosome	10/150	3.453568e-03	1.415963e-01	0	0	2.938884e+00	1.665861e+01	SF3A3;PRPF4;DDX5;LSM7;PPIL1;SF3A1;ZMAT2;CRNKL1;LSM2;RBM22
MSigDB_Hallmark_2020	Oxidative phosphorylation	9/133	4.911258e-03	1.610978e-01	0	0	2.982419e+00	1.585521e+01	ATP6V1G1;NDUFA12;NDUFS6;NDUFB4;NDUFB3;CYC1;COX7B2;COX7C;ATP6V1F
MSigDB_Hallmark_2020	RNA transport	11/186	5.500900e-03	1.610978e-01	0	0	2.587040e+00	1.345996e+01	EEF1A1;POP5;EIF5;RPP40;SAP18;PHAX;RPP25;EIF2S2;EIF1B;EIF3D;EIF1
MSigDB_Hallmark_2020	Prion disease	14/273	6.596981e-03	1.690476e-01	0	0	2.229296e+00	1.119361e+01	NDUFA12;NDUFB4;NDUFB3;ADRM1;COX7C;COX7B2;PSMD8;PSMB6;PSMD7;TUBA1A;NDUFS6;DDIT3;CYC1;SLC25A4
MSigDB_Hallmark_2020	Huntington disease	15/306	7.511508e-03	1.710955e-01	0	0	2.126897e+00	1.040333e+01	NDUFA12;NDUFB4;NDUFB3;ADRM1;COX7C;COX7B2;PSMD8;PSMB6;PSMD7;TUBA1A;NDUFS6;POLR2G;CYC1;SLC25A4;POLR2L
MSigDB_Hallmark_2020	Protein processing in endoplasmic reticulum	10/171	8.554841e-03	1.753742e-01	0	0	2.552782e+00	1.215445e+01	UBXN1;SELENOS;DAD1;DDIT3;EIF2AK1;RAD23A;SEC61B;UBXN4;CRYAB;CKAP4
MSigDB_Hallmark_2020	Ferroptosis	4/41	1.657984e-02	2.977487e-01	0	0	4.415434e+00	1.810137e+01	TF;GPX4;FTH1;FTL
